file,outcome,power,n_tokens,cross_signal,observed_energy,raw_reliability,shrinkage
12012022_cell1_map_SSTtoE_A_cmFormat.mat,pscs_demixed,60.0,68,12.548760422187945,14.393500866654946,0.871835180227719,0.871835180227719
12012022_cell1_map_SSTtoE_A_cmFormat.mat,pscs,30.0,68,3.034368873851781,9.711997603210683,0.3124350929461361,0.3124350929461361
12012022_cell1_map_SSTtoE_A_cmFormat.mat,pscs,45.0,68,9.40697733766162,17.071523510326976,0.5510332649555919,0.5510332649555919
12012022_cell1_map_SSTtoE_A_cmFormat.mat,pscs,60.0,68,12.733985538837885,47.41251722407713,0.2685785586674416,0.2685785586674416
12012022_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,30.0,119,0.12805169464620472,0.6693301633628602,0.19131319885965573,0.19131319885965573
12012022_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,60.0,119,1.2524112842272195,2.945132559035721,0.425247848483016,0.425247848483016
12012022_cell2_map_SSTtoE_A_cmFormat.mat,pscs,30.0,119,0.33788086843126225,5.472049471388376,0.06174667648710688,0.06174667648710688
12012022_cell2_map_SSTtoE_A_cmFormat.mat,pscs,60.0,119,0.6799225700446054,13.551823776522108,0.05017203449933721,0.05017203449933721
12012022_cell3_map_SSTtoE_B_cmFormat.mat,pscs_demixed,30.0,51,3.089822543671507,3.4226147051110702,0.9027666885955358,0.9027666885955358
12012022_cell3_map_SSTtoE_B_cmFormat.mat,pscs_demixed,45.0,51,20.58770575068927,21.109886212598724,0.9752637007774202,0.9752637007774202
12012022_cell3_map_SSTtoE_B_cmFormat.mat,pscs_demixed,60.0,51,69.29021779676499,70.84147614282925,0.9781023994624753,0.9781023994624753
12012022_cell3_map_SSTtoE_B_cmFormat.mat,pscs,30.0,51,3.4457877493861853,4.980330077487999,0.6918793926855923,0.6918793926855923
12012022_cell3_map_SSTtoE_B_cmFormat.mat,pscs,45.0,51,21.366092159888826,24.07748781148981,0.8873887644413175,0.8873887644413175
12012022_cell3_map_SSTtoE_B_cmFormat.mat,pscs,60.0,51,69.93850972965723,75.07831809338475,0.9315407098313727,0.9315407098313727
12072022_cell3_map_SSTtoE_A_cmFormat.mat,pscs_demixed,30.0,105,35.7754454958958,37.26307505101522,0.9600776491719276,0.9600776491719276
12072022_cell3_map_SSTtoE_A_cmFormat.mat,pscs_demixed,45.0,105,66.14722443562178,69.80567166516285,0.9475909744542026,0.9475909744542026
12072022_cell3_map_SSTtoE_A_cmFormat.mat,pscs_demixed,60.0,105,81.35868619114191,83.34510636788264,0.9761663250152597,0.9761663250152597
12072022_cell3_map_SSTtoE_A_cmFormat.mat,pscs,30.0,105,36.203726480784205,41.33081760426758,0.8759499225838208,0.8759499225838208
12072022_cell3_map_SSTtoE_A_cmFormat.mat,pscs,45.0,105,63.84808943153957,74.10601938955377,0.8615776418364716,0.8615776418364716
12072022_cell3_map_SSTtoE_A_cmFormat.mat,pscs,60.0,105,80.79553173639022,88.0483507894931,0.9176268608319196,0.9176268608319196
