file,outcome,power,n_tokens,cross_signal,observed_energy,raw_reliability,shrinkage
12142022_cell7_map_EtoE_A_cmFormat.mat,pscs_demixed,45.0,603,1.0638698047459632,1.2853898618961679,0.8276631365184216,0.8276631365184216
12142022_cell7_map_EtoE_A_cmFormat.mat,pscs_demixed,60.0,603,2.67134278803924,3.2333417958368393,0.8261863287941864,0.8261863287941864
12142022_cell7_map_EtoE_A_cmFormat.mat,pscs,30.0,603,2.938745629920866,5.02756218026455,0.5845269585042168,0.5845269585042168
12142022_cell7_map_EtoE_A_cmFormat.mat,pscs,45.0,603,10.024279322154113,13.096300821923382,0.7654283036453573,0.7654283036453573
12142022_cell7_map_EtoE_A_cmFormat.mat,pscs,60.0,603,23.02470860916253,26.85069716252326,0.857508781608068,0.857508781608068
12162022_cell1_map_EtoE_A_cmFormat.mat,pscs_demixed,30.0,214,0.10146259964782324,0.19421760602057458,0.5224171058780054,0.5224171058780054
12162022_cell1_map_EtoE_A_cmFormat.mat,pscs_demixed,45.0,214,0.23187822332317123,0.3312614124114316,0.6999856144885811,0.6999856144885811
12162022_cell1_map_EtoE_A_cmFormat.mat,pscs_demixed,60.0,214,0.6658336991357213,0.7787684235001604,0.8549829179554352,0.8549829179554352
12162022_cell1_map_EtoE_A_cmFormat.mat,pscs,30.0,214,0.3222633689584495,1.3369195844246853,0.2410491795563969,0.2410491795563969
12162022_cell1_map_EtoE_A_cmFormat.mat,pscs,45.0,214,0.8149645612180867,1.8538943691858485,0.4395960065275911,0.4395960065275911
12162022_cell1_map_EtoE_A_cmFormat.mat,pscs,60.0,214,2.0016821120687163,3.0554200359199393,0.6551250199765222,0.6551250199765222
12192022_cell3_map_EtoE_A_cmFormat.mat,pscs_demixed,30.0,454,0.005097669314458304,0.17780135989870127,0.02867058675683132,0.02867058675683132
12192022_cell3_map_EtoE_A_cmFormat.mat,pscs_demixed,45.0,454,0.019960794877066514,0.19061167097122128,0.10471968885934699,0.10471968885934699
12192022_cell3_map_EtoE_A_cmFormat.mat,pscs_demixed,60.0,454,0.1956581691292725,0.4876930490310851,0.40119121959599924,0.40119121959599924
12192022_cell3_map_EtoE_A_cmFormat.mat,pscs,30.0,454,1.36649282756309,3.7639728597028013,0.36304534556898654,0.36304534556898654
12192022_cell3_map_EtoE_A_cmFormat.mat,pscs,45.0,454,4.805890142575727,7.919205565333326,0.6068651840045326,0.6068651840045326
12192022_cell3_map_EtoE_A_cmFormat.mat,pscs,60.0,454,15.114177679707243,18.56877945828624,0.8139564430532673,0.8139564430532673
12192022_cell5_map_EtoE_A_cmFormat.mat,pscs_demixed,30.0,489,3.308651475343503e-06,0.07600698530303765,4.353088682773044e-05,4.353088682773044e-05
12192022_cell5_map_EtoE_A_cmFormat.mat,pscs_demixed,45.0,489,0.0901913320594785,0.24041322648516264,0.3751512900437063,0.3751512900437063
12192022_cell5_map_EtoE_A_cmFormat.mat,pscs_demixed,60.0,489,0.8990895877480641,1.0704626967620228,0.8399074441992844,0.8399074441992844
12192022_cell5_map_EtoE_A_cmFormat.mat,pscs,30.0,489,0.11880323925330759,1.2487368203106168,0.09513873325506322,0.09513873325506322
12192022_cell5_map_EtoE_A_cmFormat.mat,pscs,45.0,489,1.4656984964035795,2.7426314505252325,0.5344132169573452,0.5344132169573452
12192022_cell5_map_EtoE_A_cmFormat.mat,pscs,60.0,489,3.8973740125681666,5.51898921174249,0.706175327227658,0.706175327227658
12192022_cell6_map_EtoE_A_cmFormat.mat,pscs_demixed,30.0,687,-0.04625943738808586,1.5634950812561046,-0.029587197262508334,0.0
12192022_cell6_map_EtoE_A_cmFormat.mat,pscs_demixed,45.0,687,3.1574965709407103,4.587111482862075,0.6883409271253698,0.6883409271253698
12192022_cell6_map_EtoE_A_cmFormat.mat,pscs_demixed,60.0,687,3.573341185612061,5.1565240040439075,0.6929747990719591,0.6929747990719591
12192022_cell6_map_EtoE_A_cmFormat.mat,pscs,30.0,687,0.4233952455126113,16.231426264616744,0.026084907056848128,0.026084907056848128
12192022_cell6_map_EtoE_A_cmFormat.mat,pscs,45.0,687,3.6697627176543204,13.159586706772703,0.2788661072285532,0.2788661072285532
12192022_cell6_map_EtoE_A_cmFormat.mat,pscs,60.0,687,4.934844796083018,13.572911724044133,0.3635804090098842,0.3635804090098842
12192022_cell8_map_EtoE_A_cmFormat.mat,pscs_demixed,30.0,527,9.328094071630973,10.985483934031869,0.8491290986948261,0.8491290986948261
12192022_cell8_map_EtoE_A_cmFormat.mat,pscs_demixed,45.0,527,18.24184326117086,19.2536239523696,0.947449857039811,0.947449857039811
12192022_cell8_map_EtoE_A_cmFormat.mat,pscs_demixed,60.0,527,26.573072904272284,30.750019752308873,0.8641644173993429,0.8641644173993429
12192022_cell8_map_EtoE_A_cmFormat.mat,pscs,30.0,527,61.57555244849212,83.0828150283786,0.7411346429157432,0.7411346429157432
12192022_cell8_map_EtoE_A_cmFormat.mat,pscs,45.0,527,189.88936631049214,214.2908666273402,0.8861290697970662,0.8861290697970662
12192022_cell8_map_EtoE_A_cmFormat.mat,pscs,60.0,527,378.89401977594497,452.5794915627804,0.8371877799137657,0.8371877799137657
